name,symbol,slug,category,assetClass,gecko_id,mcap,annualRevenue,annualFees,ps,pf,revYield
Yield Yak Aggregator,YAK,yield-yak-aggregator,Yield Aggregator,Application,yield-yak,423021.7992104794,351327,351327,1.2040685720439346,1.2040685720439346,0.8305174831550304
Almanak,ALMANAK,almanak,Onchain Capital Allocator,Application,almanak,413545.2200482012,503201,2091531,0.8218290902605544,0.19772368664303863,1.2167980080663219
DoubleUp,UP,doubleup,Luck Games,Application,doubleup,380028.83174560044,1458986,1458986,0.2604746253532251,0.2604746253532251,3.8391455545580206
Cyberperp,CYB,cyberperp,Derivatives,Application,cyberperp,370999.8519466945,1796,8254,206.57007346697912,44.94788610936449,0.004840972282269402
Vesta Finance,VSTA,vesta-finance,CDP,Application,vesta-finance,365315.0198897341,0,0,,,0
WELEPHANT,WELEPHANT,welephant,Gamified Mining,Application,wrapped-elephant,361614.34750267153,65347,65347,5.533755910794245,5.533755910794245,0.18070909091768608
Valas Finance,VALAS,valas-finance,Lending,Application,valas-finance,354835.73524315056,129440,258897,2.7413143946473313,1.3705671956150538,0.36478851238391047
WingRiders,WRT,wingriders,Dexs,Application,wingriders,334380.63677658397,0,112815,,2.9639732019375433,0
Xeleb Protocol,XCX,xeleb-protocol,AI Agents,Application,xeleb-protocol,318399.4098451408,6884,6884,46.25209323723719,46.25209323723719,0.021620643088968522
Adrena Protocol,ADX,adrena-protocol,Derivatives,Application,adrena,304568.20722072857,1696832,5656124,0.1794922580554401,0.05384751239907905,5.571270932984352
PigeonHouse,PIGEON,pigeonhouse,Launchpad,Application,level941,295512.3803763689,140,566,2110.8027169740635,522.1066791101923,0.00047375341710453536
Astroport,ASTRO,astroport,Dexs,Application,astroport-fi,281113.3804881859,0,234493,,1.1988135274323153,0
X2Y2,X2Y2,x2y2,NFT Lending,Application,x2y2,279209.2309109786,0,0,,,0
Ferro,FER,ferro,Dexs,Application,ferro,276985.5966550164,14105,28267,19.63740493832091,9.798903196484114,0.05092322550463762
Kromatika,KROM,kromatika,Dexs,Application,kromatika,259192.8069984159,0,1,,259192.8069984159,0
Bodega Market,BODEGA,bodega-market,Prediction Market,Application,bodega,233152.169738555,46203,49588,5.046256081608446,4.701786112336755,0.19816671683480233
Kroma,KRO,kroma,Chain,L1/Monetary,kroma,228593.85563894903,0,136,,1680.8371738158016,0
LooksRare,LOOKS,looksrare,NFT Marketplace,Application,looksrare,218014.53302670253,0,0,,,0
Goat Protocol,GOA,goat-protocol,Yield Aggregator,Application,goat-protocol,195776.23704769035,165,165,1186.522648773881,1186.522648773881,0.0008427989141491499
Taraswap,TSWAP,taraswap,Dexs,Application,taraswap,192356.9289514301,0,37780,,5.091501560387245,0
Unlock Protocol,UP,unlock-protocol,Payments,Application,unlockprotocoltoken,191750.60227796534,826,80116,232.14358629293625,2.393412080957179,0.004307678777470615
Swop,SWOP,swop,Dexs,Application,swop,185072.70922016486,21707,61985,8.525945972274606,2.98576605985585,0.11728903786769056
CLever,CLEV,clever,Yield,Application,clever-token,182804.91274076968,173721,347445,1.052290239756677,0.5261405768992781,0.9503081585468586
Elk,ELK,elk,Dexs,Application,elk-finance,172535.77375265793,0,3290,,52.442484423300286,0
Sommelier,SOMM,sommelier,Onchain Capital Allocator,Application,sommelier,170235.78352885804,116347,174330,1.4631729527092063,0.9765145616294272,0.683446203778168
Fragmetric,FRAG,fragmetric,Liquid Restaking,Application,fragmetric,168920.13315539944,1571782,6033786,0.1074704591065424,0.027995711673466615,9.304882553899164
fly.trade,FLY,fly.trade,Cross Chain Bridge,Application,fly-2,164142.31927560913,4514,4514,36.36294179787531,36.36294179787531,0.027500525275389855
Beraborrow,POLLEN,beraborrow,CDP,Application,pollen-2,134039.0783261972,560359,560587,0.23920215134618555,0.2391048638769668,4.180564407018016
DefiPlaza,DFP2,defiplaza,Dexs,Application,defiplaza,133987.79728381318,328,1397,408.49938196284506,95.91109325970879,0.0024479841198167458
